IP,Harmless,Malicious,Suspicious,Timeout,Undetected
91.109.182.3,54,10,1,0,23
91.109.188.3,60,5,1,0,22
94.59.241.189,57,8,1,0,22
192.210.133.19,64,2,0,0,22
91.109.182.4,55,9,1,0,23
178.120.107.176,65,0,0,0,23
14.102.77.169,63,1,1,0,23
2.92.178.164,62,1,2,0,23
109.169.174.124,62,2,1,0,23
178.45.200.85,63,2,1,0,22
178.44.165.157,62,2,1,0,23
111.88.27.17,63,1,1,0,23
59.98.137.1,64,0,1,0,23
176.65.162.192,64,1,1,0,22
41.42.137.67,64,0,1,0,23
117.203.52.150,64,0,1,0,23
27.73.161.38,63,1,1,0,23
120.57.122.18,64,0,1,0,23
41.74.139.128,60,6,3,0,19
41.232.92.168,64,0,1,0,23
182.185.190.238,63,1,1,0,23
39.33.59.3,64,0,1,0,23
117.202.99.196,64,0,1,0,23
2.181.97.35,64,0,1,0,23
189.245.126.174,63,2,2,0,21
39.43.61.47,64,0,1,0,23
59.95.177.142,64,0,1,0,23
125.41.5.63,63,1,1,0,23
59.95.212.17,64,0,1,0,23
190.237.204.61,64,1,1,0,22
41.239.23.247,64,0,1,0,23
59.95.17.114,64,0,1,0,23
59.94.116.114,64,0,1,0,23
59.95.178.240,64,0,1,0,23
59.95.74.5,64,0,1,0,23
41.239.184.51,64,0,1,0,23
2.92.231.137,63,1,2,0,22
186.129.143.58,64,1,1,0,22
95.67.193.203,62,2,1,0,23
117.212.42.5,64,1,1,0,22
59.97.160.18,63,1,1,0,23
80.70.109.205,65,1,2,0,20
188.215.5.128,63,1,1,0,23
200.90.147.22,64,1,1,0,22
117.215.1.165,64,1,1,0,22
122.164.13.218,64,0,1,0,23
117.203.54.91,64,0,1,0,23
59.95.17.244,64,0,1,0,23
182.117.79.103,64,1,1,0,22
109.169.162.14,64,0,1,0,23
2.185.248.149,64,0,1,0,23
59.96.136.148,64,1,1,0,22
85.114.116.111,64,0,1,0,23
59.178.130.218,64,0,1,0,23
123.24.148.82,64,0,1,0,23
117.195.168.8,64,0,1,0,23
176.97.42.222,64,0,1,0,23
62.74.85.187,64,0,1,0,23
27.72.95.134,61,5,2,0,20
2.183.92.36,64,0,1,0,23
186.142.0.38,64,0,1,0,23
187.57.26.27,63,1,1,0,23
94.243.114.41,64,0,1,0,23
123.24.96.87,63,1,1,0,23
186.142.0.246,64,1,1,0,22
182.186.187.211,64,0,1,0,23
