IP,Harmless,Malicious,Suspicious,Timeout,Undetected
74.116.56.244,60,5,1,0,23
106.75.3.7,60,9,1,0,19
190.133.63.176,0,0,0,0,88
1.23.129.36,62,1,0,0,26
87.236.176.144,54,13,1,0,21
176.53.20.44,61,3,0,0,25
65.49.1.115,54,15,1,0,19
87.236.176.222,56,11,2,0,20
152.32.187.204,55,14,2,0,18
139.144.16.22,64,3,1,0,21
216.218.206.87,61,5,0,0,23
45.83.65.167,60,6,1,0,22
162.243.145.44,59,8,0,0,22
35.80.18.36,0,0,0,0,88
170.83.105.51,62,1,0,0,26
157.245.150.241,64,4,1,0,20
189.127.145.216,58,0,0,0,31
74.82.47.56,56,10,0,0,23
43.132.191.235,61,5,1,0,22
87.236.176.5,55,14,0,0,20
74.82.47.11,58,11,0,0,20
141.105.141.60,0,0,0,0,88
177.52.26.37,61,5,0,0,23
180.11.132.39,63,2,0,0,24
202.79.25.16,61,2,0,0,26
144.126.201.32,0,0,0,0,88
137.184.216.141,61,4,1,0,23
205.210.31.86,55,14,0,0,20
197.82.219.99,0,0,0,0,88
192.241.218.17,56,10,0,0,23
119.83.207.202,0,0,0,0,88
185.233.19.214,56,13,0,0,20
217.219.131.226,60,5,0,0,24
198.235.24.165,54,14,1,0,20
107.170.252.56,60,10,0,0,19
178.32.197.89,57,8,2,0,22
87.236.176.208,56,10,2,0,21
87.236.176.52,53,14,2,0,20
120.211.218.142,56,12,0,0,21
107.170.240.35,59,11,0,0,19
71.6.135.131,55,14,0,0,20
192.241.219.44,60,8,0,0,21
103.162.59.218,64,1,1,0,23
206.0.240.94,0,0,0,0,88
106.75.78.150,64,5,1,0,19
87.236.176.160,53,14,1,0,21
205.210.31.57,56,11,1,0,21
45.176.221.226,0,0,0,0,88
65.49.20.108,61,6,0,0,22
43.131.43.27,55,13,1,0,20
46.32.5.164,63,2,0,0,24
87.236.176.104,56,11,1,0,21
195.181.83.209,0,0,0,0,88
37.44.238.206,56,12,0,0,21
192.241.230.19,59,9,0,0,21
43.130.10.173,54,14,2,0,19
117.253.102.86,0,0,0,0,88
87.236.176.199,57,9,1,0,22
65.49.20.80,59,10,0,0,20
