IP,Classification
176.53.20.44,benign
35.80.18.36,malicious
170.83.105.51,benign
197.82.219.99,malicious
45.176.221.226,malicious
117.253.102.86,malicious
5.254.18.240,benign
92.118.230.124,benign
91.209.143.63,malicious
45.132.48.135,malicious
165.227.62.247,benign
199.19.74.88,benign
78.142.229.167,unknown
185.214.205.178,malicious
115.57.98.152,malicious
117.220.206.74,malicious
153.0.89.34,malicious
37.191.69.199,malicious
209.97.137.148,benign
195.181.176.130,benign
79.132.202.41,malicious
210.108.70.119,unknown
151.234.191.193,malicious
151.241.85.3,malicious
84.0.180.140,malicious
157.90.139.156,malicious
137.184.166.35,benign
52.53.194.68,malicious
66.240.219.133,benign
176.206.165.57,malicious
54.160.68.182,malicious
186.219.252.184,malicious
103.28.35.33,benign
79.36.25.186,malicious
134.236.155.179,malicious
103.116.53.106,benign
111.92.22.116,benign
31.58.226.103,malicious
117.90.168.167,benign
5.235.188.25,malicious
82.132.217.76,malicious
113.198.137.150,benign
5.235.215.190,malicious
87.249.134.38,benign
79.40.119.69,malicious
146.190.88.221,benign
117.204.87.171,malicious
41.235.134.172,malicious
213.24.126.128,malicious
5.236.209.243,malicious
1.81.207.87,malicious
159.89.236.56,benign
2.189.34.126,malicious
167.99.87.120,unknown
105.226.13.22,malicious
157.230.128.101,benign
77.105.185.175,benign
59.91.175.198,malicious
31.188.150.250,malicious
117.215.235.219,malicious
5.190.80.120,malicious
165.255.76.81,malicious
82.84.3.221,malicious
223.150.227.107,malicious
185.225.74.229,unknown
79.20.171.126,malicious
180.241.47.4,malicious
66.244.74.69,benign
109.184.126.242,malicious
5.202.68.172,benign
59.91.174.90,malicious
89.44.130.106,benign
70.15.212.181,malicious
14.102.188.55,malicious
193.35.18.119,benign
77.246.253.118,malicious
149.28.138.67,unknown
117.222.163.116,unknown
103.241.65.32,benign
31.41.244.111,unknown
54.219.76.138,malicious
193.35.18.53,unknown
39.59.117.122,malicious
151.247.209.116,malicious
151.236.244.83,malicious
151.232.162.176,malicious
93.117.3.39,malicious
27.40.117.186,benign
79.26.5.32,malicious
163.53.82.150,malicious
46.101.226.203,benign
61.0.217.84,malicious
207.244.247.200,benign
159.89.32.236,benign
104.248.64.91,benign
31.184.240.91,benign
46.33.229.33,malicious
95.38.183.201,malicious
188.161.10.226,malicious
78.147.29.251,malicious
5.235.196.255,malicious
2.176.215.240,malicious
45.128.199.252,benign
117.253.58.189,malicious
31.184.240.70,benign
176.206.71.181,malicious
87.6.119.92,unknown
117.235.248.3,malicious
139.190.150.127,malicious
146.185.132.10,benign
59.178.178.134,malicious
3.92.127.248,malicious
156.210.136.236,malicious
95.85.47.13,benign
58.187.9.230,benign
