ip,classification,Harmless,Malicious,Suspicious,ASN
50.116.59.19,malicious,61,6,0,63949
50.116.8.43,malicious,66,3,0,63949
50.16.39.193,malicious,0,0,0,14618
50.193.12.5,malicious,61,6,2,7922
50.195.89.125,malicious,65,1,0,7922
50.197.63.251,malicious,64,2,1,7922
50.203.97.140,malicious,64,1,0,7922
50.213.219.229,malicious,63,3,2,7922
50.22.133.2,malicious,65,3,1,36351
50.232.204.114,malicious,59,8,2,7922
50.234.236.210,malicious,57,12,1,7922
50.238.47.38,malicious,62,5,0,7922
50.57.93.67,malicious,63,3,1,19994
50.74.168.117,malicious,63,3,1,12271
50.79.149.150,malicious,53,16,1,7922
50.84.120.122,malicious,60,6,1,11427
50.88.53.62,malicious,55,12,1,33363
50.96.33.83,malicious,55,14,1,7029
51.141.113.50,malicious,65,0,0,8075
51.15.11.91,malicious,58,9,0,12876
51.15.145.62,malicious,61,4,2,12876
51.15.157.121,malicious,62,4,0,12876
51.15.169.222,malicious,58,9,2,12876
51.15.34.47,malicious,58,8,1,12876
51.158.146.211,malicious,63,4,1,12876
51.158.24.19,malicious,60,5,2,12876
51.158.25.191,malicious,60,5,2,12876
51.158.43.13,malicious,64,3,2,12876
51.159.104.209,malicious,62,5,1,12876
51.159.5.239,malicious,61,7,1,12876
51.159.93.41,malicious,61,4,0,12876
51.161.50.176,malicious,62,4,0,16276
51.161.50.177,malicious,62,4,1,16276
51.161.50.179,malicious,62,4,0,16276
51.161.50.180,malicious,59,7,1,16276
51.161.50.181,malicious,63,3,0,16276
51.161.50.182,malicious,64,3,0,16276
51.161.50.184,malicious,61,4,0,16276
51.161.50.185,malicious,60,6,1,16276
51.161.50.186,malicious,60,6,1,16276
51.161.50.187,malicious,61,4,0,16276
51.161.50.188,malicious,63,4,1,16276
51.161.50.189,malicious,62,3,0,16276
51.161.50.190,malicious,62,4,1,16276
51.161.50.191,malicious,62,4,0,16276
51.19.5.211,malicious,65,0,1,5607
