ip,classification,Harmless,Malicious,Suspicious
1.11.232.153,malicious,60,4,0
1.116.157.153,malicious,56,13,0
1.116.163.84,malicious,60,5,0
1.116.39.65,malicious,58,6,1
1.117.144.153,malicious,53,12,0
1.117.166.79,malicious,0,0,0
1.117.204.147,malicious,59,7,2
1.117.221.245,malicious,57,9,1
1.117.236.166,malicious,60,5,0
1.117.91.115,malicious,54,11,2
1.119.161.210,malicious,62,3,1
1.119.194.226,malicious,0,0,0
1.12.245.119,malicious,62,2,1
1.12.250.139,malicious,0,0,0
1.12.42.30,malicious,64,1,0
1.12.69.32,malicious,57,10,0
1.14.126.158,malicious,61,7,1
1.14.15.128,malicious,62,3,1
1.14.250.37,malicious,63,4,1
1.14.64.51,malicious,58,7,0
1.14.70.97,malicious,56,11,0
1.15.107.76,malicious,60,6,2
1.15.83.222,malicious,60,6,1
1.15.94.16,malicious,61,4,0
1.161.205.244,malicious,65,1,0
1.161.217.170,malicious,0,0,0
1.162.77.39,malicious,64,1,0
1.174.7.25,malicious,0,0,0
1.175.205.135,malicious,61,6,1
1.176.37.59,malicious,63,3,0
1.177.63.29,malicious,63,1,0
1.179.128.124,malicious,59,6,0
1.179.153.18,malicious,62,5,0
1.182.90.159,malicious,60,4,2
1.194.131.198,malicious,64,1,0
1.198.50.137,malicious,61,4,1
1.202.102.31,malicious,0,0,0
1.202.140.170,malicious,60,6,0
1.203.115.79,malicious,60,6,1
1.216.217.219,malicious,59,5,1
1.220.124.68,malicious,63,4,0
1.220.255.61,malicious,59,5,0
1.22.193.163,malicious,0,0,0
1.223.103.46,malicious,62,3,2
1.233.158.40,malicious,0,0,0
1.24.68.24,malicious,0,0,0
1.246.18.135,malicious,63,1,0
1.25.236.132,malicious,0,0,0
1.25.75.103,malicious,63,1,0
1.254.171.75,malicious,62,4,0
1.27.128.99,malicious,62,2,0
1.27.36.173,malicious,0,0,0
1.28.209.195,malicious,64,1,0
1.28.2.229,malicious,63,1,0
1.30.109.215,malicious,0,0,0
1.30.161.111,malicious,60,5,1
1.30.34.239,malicious,63,1,0
1.31.210.255,malicious,0,0,0
1.31.83.162,malicious,60,5,1
1.32.58.178,malicious,64,1,0
1.34.204.17,malicious,59,6,1
1.34.55.95,malicious,62,3,0
1.53.235.240,malicious,0,0,0
1.55.32.249,malicious,63,2,1
1.55.90.140,malicious,0,0,0
1.62.217.26,malicious,0,0,0
1.62.248.91,malicious,0,0,0
1.65.185.183,malicious,64,1,0
1.65.200.55,malicious,64,1,0
1.70.127.1,malicious,0,0,0
1.70.179.34,malicious,60,9,1
1.71.143.168,malicious,0,0,0
1.83.158.224,malicious,63,1,0
1.9.46.36,malicious,62,2,0
2.117.57.254,malicious,61,6,1
2.120.155.183,malicious,64,1,0
2.176.236.217,malicious,0,0,0
2.184.104.74,malicious,0,0,0
2.30.83.222,malicious,0,0,0
2.4.222.164,malicious,59,7,1
2.42.36.244,malicious,59,5,2
2.44.150.180,malicious,0,0,0
2.47.105.227,malicious,0,0,0
2.47.176.219,malicious,58,8,1
2.47.54.201,malicious,56,11,0
2.49.109.77,malicious,63,1,1
2.54.87.115,malicious,0,0,0
2.55.117.51,malicious,63,3,0
2.56.177.213,malicious,65,1,0
2.56.177.214,malicious,64,1,0
2.56.91.74,malicious,66,0,1
2.57.121.225,malicious,62,3,1
2.57.121.226,malicious,64,3,0
2.57.121.92,malicious,0,0,0
2.57.121.94,malicious,64,1,0
2.57.122.124,malicious,59,6,2
2.57.122.71,malicious,55,11,1
2.57.122.73,malicious,55,12,1
2.57.122.75,malicious,63,4,2
2.57.149.141,malicious,63,4,1
2.57.19.13,malicious,0,0,0
2.57.19.162,malicious,0,0,0
2.57.217.229,malicious,54,16,1
2.58.113.70,malicious,57,12,1
2.58.95.211,malicious,0,0,0
2.62.86.132,malicious,0,0,0
2.86.251.208,malicious,62,4,2
3.10.116.204,malicious,0,0,0
3.10.116.238,malicious,0,0,0
3.10.117.139,malicious,0,0,0
3.10.118.205,malicious,0,0,0
3.10.140.185,malicious,0,0,0
3.10.170.149,malicious,66,1,0
3.10.170.169,malicious,0,0,0
3.10.203.197,malicious,63,5,1
3.10.217.252,malicious,0,0,0
3.10.227.190,malicious,0,0,0
3.10.227.56,malicious,0,0,0
3.10.232.32,malicious,0,0,0
3.10.234.79,malicious,0,0,0
3.10.235.192,malicious,0,0,0
3.135.211.36,malicious,61,4,0
3.141.28.121,malicious,0,0,0
3.142.210.61,malicious,64,2,0
3.144.122.0,malicious,0,0,0
3.249.72.145,malicious,0,0,0
3.35.207.121,malicious,63,1,0
3.68.3.118,malicious,65,1,0
3.8.116.57,malicious,60,8,0
3.8.120.237,malicious,0,0,0
3.8.122.125,malicious,63,3,1
3.8.122.82,malicious,0,0,0
3.8.124.122,malicious,0,0,0
3.8.124.50,malicious,0,0,0
3.8.127.113,malicious,0,0,0
3.8.134.192,malicious,0,0,0
3.8.137.163,malicious,0,0,0
3.8.140.244,malicious,0,0,0
3.8.141.115,malicious,65,1,1
3.8.143.199,malicious,59,9,0
3.8.154.26,malicious,0,0,0
3.8.158.122,malicious,0,0,0
3.8.170.128,malicious,0,0,0
3.8.174.35,malicious,0,0,0
3.8.176.251,malicious,0,0,0
3.8.1.83,malicious,0,0,0
3.8.211.142,malicious,0,0,0
3.8.236.190,malicious,0,0,0
3.8.3.45,malicious,0,0,0
3.8.48.12,malicious,63,1,0
3.8.48.167,malicious,60,8,0
3.81.163.101,malicious,0,0,0
3.9.13.113,malicious,0,0,0
3.9.135.106,malicious,0,0,0
3.9.135.56,malicious,0,0,0
3.9.173.177,malicious,0,0,0
4.193.153.39,malicious,0,0,0
4.246.203.204,malicious,65,1,0
4.32.37.148,malicious,61,3,2
5.10.250.192,malicious,64,3,2
5.10.250.241,malicious,62,5,0
5.101.64.195,malicious,60,9,1
5.11.220.166,malicious,64,0,1
5.133.168.15,malicious,60,5,1
5.135.173.112,malicious,62,4,0
5.135.173.113,malicious,61,4,1
5.135.173.114,malicious,62,4,1
5.135.173.117,malicious,62,3,1
5.135.173.118,malicious,61,5,1
5.135.173.122,malicious,62,4,0
5.135.173.123,malicious,61,5,1
5.135.173.124,malicious,62,3,0
5.135.173.125,malicious,65,2,1
5.135.173.126,malicious,63,3,1
5.135.173.127,malicious,62,4,0
5.135.198.224,malicious,62,4,0
5.145.162.5,malicious,60,5,2
5.149.220.240,malicious,58,11,1
5.149.250.171,malicious,65,0,0
5.158.123.106,malicious,0,0,0
5.160.136.182,malicious,59,6,0
5.160.90.202,malicious,65,0,0
5.161.105.167,malicious,63,2,0
5.163.152.29,malicious,65,0,0
5.165.95.134,malicious,0,0,0
5.167.98.73,malicious,62,5,1
5.180.105.235,malicious,62,5,1
5.180.181.217,malicious,63,4,0
5.180.181.73,malicious,62,4,0
5.180.3.183,malicious,0,0,0
5.181.190.113,malicious,56,11,0
5.181.80.77,malicious,63,4,1
5.188.210.139,malicious,59,5,2
5.188.210.158,malicious,57,11,1
5.188.210.190,malicious,59,6,1
5.188.210.232,malicious,56,10,0
5.188.210.245,malicious,58,8,1
5.189.135.188,malicious,59,8,1
5.189.160.241,malicious,59,9,1
5.189.186.24,malicious,58,9,2
5.196.94.201,malicious,63,4,0
5.196.94.218,malicious,59,0,0
5.200.132.250,malicious,60,5,0
5.202.185.114,malicious,63,4,1
5.202.255.16,malicious,60,6,1
5.219.144.60,malicious,0,0,0
5.228.25.10,malicious,0,0,0
5.23.100.14,malicious,60,5,1
5.253.37.47,malicious,63,4,0
5.37.204.177,malicious,0,0,0
5.42.72.52,malicious,64,1,0
5.42.74.142,malicious,61,4,1
5.42.74.74,malicious,63,2,1
5.45.124.39,malicious,0,0,0
5.77.9.41,malicious,64,1,0
5.8.10.202,malicious,55,14,2
5.8.18.135,malicious,64,1,0
5.8.18.58,malicious,59,6,1
5.8.194.238,malicious,60,6,0
5.82.54.13,malicious,63,2,0
5.83.165.84,malicious,64,1,0
5.88.169.104,malicious,64,2,1
5.9.145.53,malicious,63,1,0
5.94.197.47,malicious,59,7,1
8.129.144.86,malicious,60,6,1
8.129.57.116,malicious,59,6,1
8.130.100.14,malicious,0,0,0
8.130.109.48,malicious,60,5,2
8.130.116.232,malicious,0,0,0
8.130.119.170,malicious,63,3,2
8.130.120.55,malicious,63,3,1
8.130.121.40,malicious,60,5,2
8.130.123.58,malicious,63,2,0
8.130.124.161,malicious,0,0,0
8.130.125.160,malicious,61,5,2
8.130.127.207,malicious,0,0,0
8.130.135.185,malicious,0,0,0
8.130.177.154,malicious,63,2,1
8.130.25.7,malicious,62,1,1
8.130.29.213,malicious,63,4,0
8.130.30.0,malicious,63,1,1
8.130.34.179,malicious,59,6,2
8.130.35.42,malicious,59,6,2
8.130.39.216,malicious,58,7,1
8.130.43.152,malicious,59,9,1
8.130.47.17,malicious,0,0,0
8.130.66.35,malicious,60,6,2
8.130.68.13,malicious,0,0,0
8.130.68.83,malicious,61,5,0
8.130.70.90,malicious,63,1,1
8.130.76.149,malicious,61,5,1
8.130.78.26,malicious,61,4,1
8.130.80.152,malicious,61,3,1
8.130.81.65,malicious,60,5,1
8.130.83.242,malicious,61,6,1
8.130.86.16,malicious,0,0,0
8.130.89.164,malicious,64,2,1
8.130.93.83,malicious,59,5,2
8.130.98.101,malicious,60,5,2
8.130.98.112,malicious,61,4,1
8.131.226.46,malicious,59,5,2
8.131.252.17,malicious,60,6,2
8.131.63.16,malicious,58,8,0
8.131.89.92,malicious,60,5,1
8.134.109.218,malicious,59,8,0
8.134.129.119,malicious,59,8,1
8.134.129.141,malicious,62,2,0
8.134.14.206,malicious,60,6,2
8.134.149.12,malicious,63,2,2
8.134.162.34,malicious,62,4,0
8.134.167.49,malicious,62,4,2
8.134.206.129,malicious,60,6,1
8.134.58.188,malicious,61,4,1
8.134.94.253,malicious,0,0,0
8.136.210.208,malicious,61,5,1
8.137.106.42,malicious,62,1,1
8.137.38.140,malicious,63,2,1
8.137.51.188,malicious,64,2,0
8.137.58.73,malicious,0,0,0
8.140.121.64,malicious,63,1,1
8.140.150.184,malicious,58,8,1
8.140.150.7,malicious,58,6,1
8.140.181.2,malicious,60,6,1
8.140.187.114,malicious,60,5,1
8.140.197.180,malicious,60,4,1
8.140.19.98,malicious,63,3,1
8.140.200.129,malicious,61,4,0
8.140.201.61,malicious,61,4,2
8.140.204.166,malicious,61,3,1
8.140.35.168,malicious,65,0,1
8.140.48.71,malicious,63,3,1
8.140.55.177,malicious,0,0,0
8.140.56.196,malicious,62,3,0
8.141.155.73,malicious,59,5,1
8.141.158.188,malicious,61,3,1
8.141.81.63,malicious,62,1,1
8.141.82.167,malicious,63,1,1
8.141.91.249,malicious,0,0,0
8.142.101.244,malicious,61,7,1
8.142.105.206,malicious,64,2,0
8.142.106.166,malicious,58,7,1
8.142.120.243,malicious,58,8,2
8.142.128.251,malicious,0,0,0
8.142.131.98,malicious,61,6,1
8.142.132.221,malicious,59,6,2
8.142.150.163,malicious,0,0,0
8.142.152.137,malicious,59,5,1
8.142.153.5,malicious,61,4,0
8.142.172.115,malicious,61,4,1
8.142.178.14,malicious,61,5,1
