ip,classification,Harmless,Malicious,Suspicious,ASN
74.116.56.244,malicious,60,5,1,11580.0
106.75.3.7,malicious,59,10,1,9808.0
190.133.63.176,malicious,0,0,0,6057.0
1.23.129.36,malicious,62,1,0,45528.0
87.236.176.144,benign,54,13,1,211298.0
65.49.1.115,malicious,51,16,1,6939.0
87.236.176.222,benign,55,11,2,211298.0
152.32.187.204,malicious,55,13,2,135377.0
139.144.16.22,benign,64,3,1,63949.0
216.218.206.87,benign,61,5,0,6939.0
45.83.65.167,benign,60,6,1,208843.0
162.243.145.44,malicious,59,8,0,14061.0
157.245.150.241,malicious,64,4,1,14061.0
189.127.145.216,malicious,58,0,0,270704.0
74.82.47.56,benign,56,10,0,6939.0
43.132.191.235,malicious,61,5,1,132203.0
87.236.176.5,benign,55,14,0,211298.0
74.82.47.11,benign,56,13,0,6939.0
141.105.141.60,unknown,0,0,0,49223.0
177.52.26.37,malicious,61,5,0,262282.0
180.11.132.39,malicious,63,2,0,4713.0
202.79.25.16,malicious,61,2,0,24492.0
144.126.201.32,unknown,0,0,0,14061.0
137.184.216.141,malicious,61,4,1,14061.0
205.210.31.86,benign,54,15,0,396982.0
192.241.218.17,malicious,56,10,0,14061.0
119.83.207.202,malicious,0,0,0,10010.0
185.233.19.214,malicious,56,13,0,150706.0
217.219.131.226,unknown,60,5,0,58224.0
198.235.24.165,benign,54,14,1,396982.0
107.170.252.56,malicious,60,10,0,14061.0
178.32.197.89,benign,57,8,2,16276.0
87.236.176.208,benign,56,10,2,211298.0
87.236.176.52,benign,53,14,2,211298.0
120.211.218.142,malicious,53,16,0,24547.0
107.170.240.35,malicious,57,12,0,14061.0
71.6.135.131,benign,54,14,0,10439.0
192.241.219.44,malicious,59,9,0,14061.0
103.162.59.218,malicious,64,1,1,141701.0
206.0.240.94,malicious,0,0,0,61461.0
106.75.78.150,malicious,64,4,1,9808.0
87.236.176.160,benign,53,14,1,211298.0
205.210.31.57,benign,55,11,1,396982.0
65.49.20.108,benign,61,6,0,6939.0
43.131.43.27,malicious,55,13,1,132203.0
46.32.5.164,malicious,63,2,0,206065.0
87.236.176.104,benign,56,11,1,211298.0
195.181.83.209,malicious,0,0,0,58224.0
37.44.238.206,malicious,56,12,0,34534.0
192.241.230.19,malicious,57,10,0,14061.0
43.130.10.173,malicious,54,14,2,132203.0
87.236.176.199,benign,57,9,1,211298.0
65.49.20.80,benign,57,12,0,6939.0
65.242.201.202,unknown,58,8,2,701.0
220.116.155.184,malicious,63,2,1,4766.0
107.170.247.16,malicious,56,11,1,14061.0
45.128.232.67,malicious,57,12,0,202685.0
64.62.197.86,benign,58,10,0,6939.0
65.49.1.32,malicious,54,15,1,6939.0
192.241.218.67,malicious,59,8,1,14061.0
167.172.56.109,unknown,61,3,0,14061.0
109.205.213.94,malicious,62,5,0,19318.0
107.170.247.40,malicious,60,9,0,14061.0
80.76.51.94,malicious,63,2,1,211252.0
74.82.47.27,benign,58,11,0,6939.0
78.38.162.225,unknown,0,0,0,58224.0
206.0.244.70,malicious,0,0,0,61461.0
82.147.85.205,malicious,58,8,2,57494.0
112.46.68.199,malicious,65,1,0,9808.0
87.236.176.204,benign,53,13,1,211298.0
35.203.211.60,benign,60,6,0,396982.0
188.166.71.161,malicious,55,13,1,14061.0
74.82.47.62,benign,55,12,0,6939.0
162.72.52.150,malicious,64,1,1,7155.0
184.105.247.194,benign,57,12,0,6939.0
89.248.172.16,benign,55,11,0,202425.0
192.241.207.78,malicious,58,11,0,14061.0
74.82.47.14,benign,56,12,0,6939.0
167.99.87.105,unknown,0,0,0,14061.0
182.253.159.0,malicious,0,0,0,17451.0
27.34.64.80,malicious,64,0,1,17501.0
162.142.125.221,benign,60,9,1,398324.0
103.154.2.254,malicious,0,0,0,140133.0
65.49.1.51,malicious,53,16,0,6939.0
184.105.139.107,benign,62,4,0,6939.0
45.79.172.21,benign,62,6,1,63949.0
118.193.34.114,malicious,56,11,3,135377.0
185.233.19.202,malicious,56,13,1,150706.0
36.37.169.200,malicious,0,0,0,38623.0
134.209.226.118,benign,66,4,1,14061.0
103.149.192.96,unknown,59,5,1,44592.0
185.178.64.12,unknown,63,0,0,47490.0
84.54.51.254,malicious,56,13,1,202685.0
198.199.98.149,malicious,58,9,0,14061.0
106.75.65.228,malicious,60,9,1,9808.0
205.210.31.207,benign,57,12,0,396982.0
152.32.140.200,malicious,54,11,1,135377.0
117.213.44.106,unknown,63,2,0,9829.0
106.178.142.86,malicious,60,4,2,2516.0
37.205.76.12,unknown,62,6,1,21127.0
192.241.195.64,malicious,58,11,0,14061.0
162.142.125.223,benign,62,6,1,398324.0
197.232.43.219,unknown,64,2,0,36866.0
34.68.223.108,unknown,66,1,1,396982.0
134.209.183.55,unknown,0,0,0,14061.0
65.49.1.25,malicious,53,15,1,6939.0
64.62.197.171,benign,56,10,0,6939.0
59.98.184.9,unknown,0,0,0,9829.0
198.235.24.152,benign,56,11,1,396982.0
192.241.207.88,malicious,57,11,0,14061.0
41.90.64.229,malicious,64,2,0,33771.0
116.103.228.37,malicious,62,6,1,7552.0
152.32.154.144,malicious,53,13,1,135377.0
185.180.140.4,benign,57,11,0,211680.0
188.166.233.5,benign,64,5,1,14061.0
65.49.1.108,malicious,56,13,1,6939.0
117.194.160.26,malicious,60,4,0,9829.0
45.164.35.9,malicious,63,0,0,268635.0
176.58.101.22,benign,60,8,1,63949.0
94.230.151.112,malicious,64,2,0,48661.0
99.131.29.250,malicious,0,0,0,7018.0
107.211.89.204,malicious,63,5,1,7018.0
165.227.47.218,malicious,55,14,1,14061.0
198.235.24.74,benign,56,13,0,396982.0
184.105.139.82,benign,62,5,0,6939.0
59.98.189.67,unknown,0,0,0,9829.0
178.32.197.84,benign,61,6,2,16276.0
74.82.47.59,benign,59,10,0,6939.0
64.62.197.139,benign,58,8,0,6939.0
64.62.197.110,benign,58,9,0,6939.0
64.62.197.87,benign,57,12,0,6939.0
168.232.12.218,malicious,64,1,0,264932.0
185.220.87.166,malicious,62,1,0,205375.0
192.241.196.60,malicious,62,5,0,14061.0
162.243.144.9,malicious,55,12,0,14061.0
62.76.142.15,unknown,0,0,0,202984.0
180.149.125.171,unknown,60,5,1,45204.0
195.72.146.215,malicious,64,1,0,59577.0
184.105.139.79,benign,63,4,0,6939.0
107.170.241.6,malicious,55,14,0,14061.0
184.105.247.239,benign,60,7,0,6939.0
87.236.176.172,benign,55,12,1,211298.0
135.181.2.74,unknown,0,0,0,24940.0
112.46.68.205,malicious,64,2,0,9808.0
176.137.65.234,unknown,0,0,0,5410.0
36.136.51.134,malicious,61,5,2,9808.0
111.85.200.164,malicious,62,2,0,4837.0
84.53.229.90,unknown,62,1,0,12389.0
64.62.197.75,benign,58,8,0,6939.0
192.241.203.230,malicious,58,9,0,14061.0
192.241.218.41,malicious,62,4,0,14061.0
198.235.24.94,benign,52,14,1,396982.0
196.216.11.157,malicious,62,2,0,36913.0
205.210.31.243,benign,56,13,0,396982.0
64.62.197.76,benign,57,10,1,6939.0
45.156.128.27,benign,54,15,0,211680.0
162.243.145.54,malicious,62,3,2,14061.0
5.196.102.76,benign,59,0,0,16276.0
96.55.25.77,unknown,60,4,0,6327.0
64.62.197.134,benign,59,8,0,6939.0
64.62.197.129,benign,61,6,0,6939.0
205.210.31.170,benign,56,12,0,396982.0
139.59.230.130,benign,62,8,1,14061.0
119.236.38.235,malicious,63,1,0,4760.0
160.218.103.53,malicious,62,1,0,5610.0
180.149.125.159,unknown,60,5,2,45204.0
184.105.139.84,benign,58,9,0,6939.0
138.199.38.35,malicious,61,7,1,212238.0
138.197.142.86,unknown,64,1,1,14061.0
178.128.95.222,malicious,56,13,1,14061.0
64.62.197.196,benign,60,8,0,6939.0
162.243.132.33,malicious,54,12,0,14061.0
159.203.224.39,malicious,62,7,0,14061.0
2.57.122.19,malicious,61,6,2,47890.0
60.13.138.179,malicious,63,0,0,4837.0
162.243.130.25,malicious,57,10,0,14061.0
118.193.40.71,malicious,60,8,0,135377.0
134.19.179.235,unknown,56,11,0,49453.0
216.218.206.117,benign,62,4,0,6939.0
71.6.199.23,benign,54,14,2,10439.0
152.32.247.49,malicious,57,10,1,135377.0
223.19.103.72,malicious,62,4,0,9304.0
109.182.48.172,malicious,0,0,0,5603.0
65.49.1.24,malicious,53,16,3,6939.0
84.54.51.76,malicious,60,6,2,202685.0
95.181.161.81,unknown,62,5,1,201671.0
186.33.126.64,unknown,59,0,0,27887.0
138.68.208.8,malicious,57,10,0,14061.0
216.218.206.83,benign,62,5,0,6939.0
137.184.208.30,benign,62,6,1,14061.0
188.163.102.134,malicious,65,1,0,15895.0
27.215.83.86,malicious,56,14,0,4837.0
80.191.184.106,unknown,62,2,0,58224.0
190.4.1.150,malicious,64,1,0,23383.0
1.22.221.82,unknown,0,0,0,45528.0
205.210.31.85,benign,55,13,0,396982.0
159.65.219.198,benign,59,8,1,14061.0
2.183.116.31,unknown,64,1,0,58224.0
206.0.225.165,malicious,0,0,0,61461.0
45.83.64.72,benign,59,7,0,208843.0
205.210.31.98,benign,54,14,1,396982.0
91.224.92.110,malicious,54,15,0,209605.0
36.99.136.128,malicious,55,14,1,137687.0
184.105.247.222,benign,56,11,0,6939.0
8.130.87.187,malicious,62,2,0,37963.0
87.236.176.110,benign,55,11,1,211298.0
213.142.213.26,malicious,64,2,0,13257.0
167.94.146.56,benign,58,11,0,398705.0
109.201.30.94,unknown,0,0,0,24631.0
205.210.31.183,benign,53,15,0,396982.0
216.218.206.97,benign,62,5,0,6939.0
163.125.138.80,malicious,0,0,0,17623.0
162.216.149.100,benign,58,8,0,396982.0
198.199.111.87,malicious,56,12,0,14061.0
87.236.176.13,benign,54,13,0,211298.0
120.29.225.101,malicious,51,17,1,38764.0
74.82.47.61,benign,56,12,0,6939.0
79.137.65.46,benign,66,2,1,16276.0
185.233.19.4,malicious,56,12,1,150706.0
192.241.219.51,malicious,59,7,0,14061.0
43.129.33.99,malicious,54,12,1,132203.0
111.224.248.162,malicious,0,0,0,4134.0
2.37.139.100,malicious,65,1,0,30722.0
192.241.234.19,malicious,57,10,0,14061.0
206.189.19.14,unknown,0,0,0,14061.0
91.109.136.112,malicious,0,0,0,31214.0
27.2.70.49,malicious,60,6,1,45543.0
198.199.92.67,malicious,62,4,1,14061.0
83.136.166.130,unknown,63,1,0,34659.0
117.215.4.161,malicious,65,1,0,9829.0
157.230.58.3,malicious,63,2,0,14061.0
87.6.239.104,malicious,64,2,0,3269.0
151.239.246.181,unknown,0,0,0,58224.0
125.164.21.77,malicious,62,1,0,7713.0
103.252.119.153,malicious,60,5,0,64022.0
114.100.177.35,malicious,64,2,0,4134.0
170.64.130.197,malicious,57,12,0,14061.0
59.91.173.179,unknown,0,0,0,9829.0
103.122.163.228,unknown,62,4,1,149078.0
165.154.172.85,malicious,62,5,0,135377.0
125.84.237.30,malicious,0,0,0,4134.0
80.41.238.203,malicious,0,0,0,9105.0
198.235.24.47,benign,56,13,0,396982.0
87.236.176.211,benign,53,12,1,211298.0
188.250.226.14,malicious,60,4,0,3243.0
124.234.155.92,malicious,60,6,2,4134.0
210.192.89.133,malicious,58,6,2,17577.0
118.131.101.123,malicious,66,0,0,3786.0
45.83.64.204,benign,59,6,2,208843.0
184.105.139.94,benign,62,5,0,6939.0
137.184.217.189,benign,53,14,0,14061.0
107.170.250.22,malicious,63,5,0,14061.0
103.233.68.209,unknown,62,4,1,18046.0
37.41.142.69,malicious,0,0,0,28885.0
122.129.112.220,malicious,61,8,2,38896.0
144.126.238.244,unknown,0,0,0,14061.0
43.158.216.231,malicious,55,11,0,132203.0
196.2.8.42,malicious,60,5,1,25429.0
35.90.32.211,unknown,0,0,0,16509.0
206.189.107.172,malicious,64,2,0,14061.0
185.38.150.80,unknown,63,1,1,25369.0
