ip,classification,requests
74.116.56.244,malicious,1
106.75.3.7,malicious,1
190.133.63.176,malicious,1
1.23.129.36,malicious,1
87.236.176.144,benign,2
65.49.1.115,malicious,2
87.236.176.222,benign,5
152.32.187.204,malicious,2
139.144.16.22,benign,6
216.218.206.87,benign,2
45.83.65.167,benign,2
157.245.150.241,malicious,3
189.127.145.216,malicious,1
74.82.47.56,benign,4
43.132.191.235,malicious,2
87.236.176.5,benign,2
74.82.47.11,benign,2
141.105.141.60,unknown,2
177.52.26.37,malicious,1
180.11.132.39,malicious,1
202.79.25.16,malicious,1
144.126.201.32,unknown,20
137.184.216.141,malicious,5
205.210.31.86,benign,5
192.241.218.17,malicious,4
119.83.207.202,malicious,1
185.233.19.214,malicious,2
217.219.131.226,unknown,2
198.235.24.165,benign,12
178.32.197.89,benign,2
87.236.176.208,benign,4
87.236.176.52,benign,11
120.211.218.142,malicious,1
107.170.240.35,malicious,1
71.6.135.131,benign,21
192.241.219.44,malicious,1
103.162.59.218,malicious,1
206.0.240.94,malicious,1
106.75.78.150,malicious,1
87.236.176.160,benign,3
205.210.31.57,benign,2
65.49.20.108,benign,6
43.131.43.27,malicious,2
46.32.5.164,malicious,1
87.236.176.104,benign,2
195.181.83.209,malicious,1
37.44.238.206,malicious,1
192.241.230.19,malicious,1
43.130.10.173,malicious,1
87.236.176.199,benign,1
65.49.20.80,benign,4
65.242.201.202,unknown,4
220.116.155.184,malicious,2
107.170.247.16,malicious,4
45.128.232.67,malicious,7
64.62.197.86,benign,4
65.49.1.32,malicious,1
167.172.56.109,unknown,2
109.205.213.94,malicious,27
80.76.51.94,malicious,24
74.82.47.27,benign,2
78.38.162.225,unknown,2
206.0.244.70,malicious,1
82.147.85.205,malicious,1
112.46.68.199,malicious,121
87.236.176.204,benign,2
35.203.211.60,benign,2
188.166.71.161,malicious,10
74.82.47.62,benign,2
162.72.52.150,malicious,1
184.105.247.194,benign,34
192.241.207.78,malicious,1
74.82.47.14,benign,2
167.99.87.105,unknown,2
182.253.159.0,malicious,1
27.34.64.80,malicious,1
162.142.125.221,benign,14
103.154.2.254,malicious,1
65.49.1.51,malicious,5
184.105.139.107,benign,2
45.79.172.21,benign,37
118.193.34.114,malicious,1
185.233.19.202,malicious,1
36.37.169.200,malicious,1
134.209.226.118,benign,14
103.149.192.96,unknown,4
185.178.64.12,unknown,2
84.54.51.254,malicious,179
198.199.98.149,malicious,5
106.75.65.228,malicious,1
205.210.31.207,benign,2
152.32.140.200,malicious,25
117.213.44.106,unknown,2
106.178.142.86,malicious,1
37.205.76.12,unknown,122
162.142.125.223,benign,208
197.232.43.219,unknown,2
34.68.223.108,unknown,32
134.209.183.55,unknown,2
65.49.1.25,malicious,1
64.62.197.171,benign,2
59.98.184.9,unknown,2
198.235.24.152,benign,2
41.90.64.229,malicious,1
116.103.228.37,malicious,19
152.32.154.144,malicious,6
185.180.140.4,benign,18
188.166.233.5,benign,4
117.194.160.26,malicious,1
45.164.35.9,malicious,1
176.58.101.22,benign,2
94.230.151.112,malicious,1
99.131.29.250,malicious,1
107.211.89.204,malicious,1
165.227.47.218,malicious,11
198.235.24.74,benign,2
184.105.139.82,benign,2
59.98.189.67,unknown,2
178.32.197.84,benign,3
74.82.47.59,benign,4
64.62.197.139,benign,6
64.62.197.110,benign,4
64.62.197.87,benign,8
168.232.12.218,malicious,1
185.220.87.166,malicious,1
192.241.196.60,malicious,4
162.243.144.9,malicious,4
62.76.142.15,unknown,12
180.149.125.171,unknown,2
195.72.146.215,malicious,1
184.105.139.79,benign,2
107.170.241.6,malicious,4
184.105.247.239,benign,10
87.236.176.172,benign,3
135.181.2.74,unknown,6
112.46.68.205,malicious,3
176.137.65.234,unknown,8
36.136.51.134,malicious,1
111.85.200.164,malicious,1
84.53.229.90,unknown,2
64.62.197.75,benign,4
192.241.203.230,malicious,1
198.235.24.94,benign,8
196.216.11.157,malicious,1
205.210.31.243,benign,8
64.62.197.76,benign,14
45.156.128.27,benign,6
162.243.145.54,malicious,4
5.196.102.76,benign,2
96.55.25.77,unknown,2
64.62.197.134,benign,6
64.62.197.129,benign,6
205.210.31.170,benign,6
139.59.230.130,benign,12
119.236.38.235,malicious,1
160.218.103.53,malicious,1
180.149.125.159,unknown,26
184.105.139.84,benign,8
138.199.38.35,malicious,22
138.197.142.86,unknown,4
178.128.95.222,malicious,7
64.62.197.196,benign,4
162.243.132.33,malicious,4
2.57.122.19,malicious,8
60.13.138.179,malicious,1
118.193.40.71,malicious,1
134.19.179.235,unknown,6
71.6.199.23,benign,12
152.32.247.49,malicious,2
223.19.103.72,malicious,1
109.182.48.172,malicious,1
65.49.1.24,malicious,2
84.54.51.76,malicious,4
95.181.161.81,unknown,10
186.33.126.64,unknown,2
138.68.208.8,malicious,4
216.218.206.83,benign,8
137.184.208.30,benign,8
188.163.102.134,malicious,1
27.215.83.86,malicious,1
80.191.184.106,unknown,2
190.4.1.150,malicious,1
1.22.221.82,unknown,2
205.210.31.85,benign,10
159.65.219.198,benign,4
2.183.116.31,unknown,2
206.0.225.165,malicious,1
45.83.64.72,benign,2
205.210.31.98,benign,6
91.224.92.110,malicious,8
36.99.136.128,malicious,8
184.105.247.222,benign,2
8.130.87.187,malicious,1
87.236.176.110,benign,2
213.142.213.26,malicious,1
167.94.146.56,benign,90
109.201.30.94,unknown,2
205.210.31.183,benign,12
216.218.206.97,benign,8
163.125.138.80,malicious,1
162.216.149.100,benign,4
198.199.111.87,malicious,4
87.236.176.13,benign,2
120.29.225.101,malicious,16
74.82.47.61,benign,2
79.137.65.46,benign,18
185.233.19.4,malicious,2
43.129.33.99,malicious,1
111.224.248.162,malicious,1
2.37.139.100,malicious,1
192.241.234.19,malicious,1
206.189.19.14,unknown,2
91.109.136.112,malicious,1
27.2.70.49,malicious,2
83.136.166.130,unknown,8
117.215.4.161,malicious,1
157.230.58.3,malicious,9
87.6.239.104,malicious,2
151.239.246.181,unknown,4
125.164.21.77,malicious,1
103.252.119.153,malicious,2
114.100.177.35,malicious,1
170.64.130.197,malicious,6
59.91.173.179,unknown,2
103.122.163.228,unknown,6
165.154.172.85,malicious,4
125.84.237.30,malicious,1
80.41.238.203,malicious,1
198.235.24.47,benign,3
87.236.176.211,benign,2
188.250.226.14,malicious,1
124.234.155.92,malicious,2
210.192.89.133,malicious,1
118.131.101.123,malicious,1
45.83.64.204,benign,2
184.105.139.94,benign,2
137.184.217.189,benign,4
103.233.68.209,unknown,8
37.41.142.69,malicious,9
122.129.112.220,malicious,1
144.126.238.244,unknown,2
43.158.216.231,malicious,3
196.2.8.42,malicious,1
35.90.32.211,unknown,2
206.189.107.172,malicious,2
185.38.150.80,unknown,6
138.68.153.47,malicious,6
36.67.150.145,malicious,1
205.210.31.137,benign,2
195.95.200.81,unknown,168
103.149.192.10,unknown,2
167.99.112.43,malicious,5
182.124.74.250,malicious,1
109.125.160.233,unknown,2
87.236.176.12,benign,10
205.210.31.215,benign,8
198.235.24.239,benign,2
195.20.137.129,malicious,1
216.218.206.102,benign,4
119.91.30.216,unknown,2
118.193.59.109,malicious,1
3.83.133.193,unknown,10
211.216.231.93,malicious,1
23.20.75.163,malicious,2
157.245.168.73,malicious,2
198.199.115.112,malicious,1
172.104.137.47,malicious,32
64.227.182.224,malicious,2
185.49.106.59,unknown,2
93.157.191.219,malicious,1
180.149.125.172,unknown,4
124.234.136.54,malicious,1
184.163.11.58,malicious,2
196.32.110.168,malicious,1
198.235.24.85,benign,9
128.1.248.26,benign,38
45.15.19.146,unknown,4
107.170.250.24,malicious,4
185.180.140.6,benign,28
106.75.24.22,malicious,1
177.75.222.67,malicious,1
184.105.139.110,benign,6
87.236.176.48,benign,4
59.125.64.23,malicious,1
43.131.247.244,malicious,1
24.184.145.245,malicious,2
45.156.128.2,benign,12
64.62.197.71,benign,18
64.62.197.5,benign,12
35.203.211.214,benign,2
177.185.117.136,malicious,7
170.84.93.122,malicious,1
144.255.18.49,unknown,2
73.57.10.254,malicious,2
106.75.133.48,malicious,2
