ip,classification,Harmless,Malicious,Suspicious
176.53.20.44,Unknown,61,3,0
35.80.18.36,Unknown,0,0,0
170.83.105.51,Unknown,62,1,0
197.82.219.99,Unknown,0,0,0
45.176.221.226,Unknown,0,0,0
117.253.102.86,Unknown,0,0,0
5.254.18.240,Unknown,64,0,2
92.118.230.124,Unknown,61,3,1
91.209.143.63,Unknown,0,0,0
45.132.48.135,Unknown,0,0,0
165.227.62.247,Unknown,63,3,1
199.19.74.88,Unknown,61,3,1
78.142.229.167,Unknown,54,10,1
185.214.205.178,Unknown,0,0,0
115.57.98.152,Unknown,0,0,0
117.220.206.74,Unknown,0,0,0
153.0.89.34,Unknown,0,0,0
37.191.69.199,Unknown,0,0,0
209.97.137.148,Unknown,63,1,0
195.181.176.130,Unknown,65,1,0
79.132.202.41,Unknown,0,0,0
210.108.70.119,Unknown,57,9,0
151.234.191.193,Unknown,0,0,0
151.241.85.3,Unknown,0,0,0
84.0.180.140,Unknown,0,0,0
157.90.139.156,Unknown,0,0,0
137.184.166.35,Unknown,63,2,0
52.53.194.68,Unknown,0,0,0
66.240.219.133,Unknown,62,5,1
176.206.165.57,Unknown,0,0,0
54.160.68.182,Unknown,0,0,0
186.219.252.184,Unknown,0,0,0
103.28.35.33,Unknown,62,3,1
79.36.25.186,Unknown,0,0,0
134.236.155.179,Unknown,0,0,0
103.116.53.106,Unknown,60,5,0
111.92.22.116,Unknown,62,1,1
31.58.226.103,Unknown,0,0,0
117.90.168.167,Unknown,64,0,0
5.235.188.25,Unknown,0,0,0
82.132.217.76,Unknown,0,0,0
113.198.137.150,Unknown,63,2,1
5.235.215.190,Unknown,0,0,0
87.249.134.38,Unknown,64,1,0
79.40.119.69,Unknown,0,0,0
146.190.88.221,Unknown,64,0,0
117.204.87.171,Unknown,0,0,0
41.235.134.172,Unknown,0,0,0
213.24.126.128,Unknown,0,0,0
5.236.209.243,Unknown,0,0,0
1.81.207.87,Unknown,0,0,0
159.89.236.56,Unknown,63,1,0
2.189.34.126,Unknown,0,0,0
167.99.87.120,Unknown,48,0,0
105.226.13.22,Unknown,0,0,0
157.230.128.101,Unknown,60,4,0
77.105.185.175,Unknown,64,1,1
59.91.175.198,Unknown,0,0,0
31.188.150.250,Unknown,0,0,0
117.215.235.219,Unknown,0,0,0
5.190.80.120,Unknown,0,0,0
165.255.76.81,Unknown,0,0,0
82.84.3.221,Unknown,0,0,0
223.150.227.107,Unknown,0,0,0
185.225.74.229,Unknown,56,9,2
79.20.171.126,Unknown,0,0,0
180.241.47.4,Unknown,1,0,0
66.244.74.69,Unknown,65,0,1
109.184.126.242,Unknown,0,0,0
5.202.68.172,Unknown,63,2,0
59.91.174.90,Unknown,0,0,0
89.44.130.106,Unknown,62,1,0
70.15.212.181,Unknown,0,0,0
14.102.188.55,Unknown,0,0,0
193.35.18.119,Unknown,61,4,2
77.246.253.118,Unknown,0,0,0
149.28.138.67,Unknown,47,0,0
117.222.163.116,Unknown,57,10,0
103.241.65.32,Unknown,59,4,3
31.41.244.111,Unknown,53,12,2
54.219.76.138,Unknown,0,0,0
193.35.18.53,Unknown,50,19,3
39.59.117.122,Unknown,0,0,0
151.247.209.116,Unknown,0,0,0
151.236.244.83,Unknown,0,0,0
151.232.162.176,Unknown,0,0,0
93.117.3.39,Unknown,0,0,0
27.40.117.186,Unknown,60,4,0
79.26.5.32,Unknown,0,0,0
163.53.82.150,Unknown,0,0,0
46.101.226.203,Unknown,62,2,0
61.0.217.84,Unknown,0,0,0
207.244.247.200,Unknown,64,1,0
159.89.32.236,Unknown,62,1,1
104.248.64.91,Unknown,62,3,1
31.184.240.91,Unknown,60,5,0
46.33.229.33,Unknown,0,0,0
95.38.183.201,Unknown,0,0,0
188.161.10.226,Unknown,0,0,0
78.147.29.251,Unknown,0,0,0
5.235.196.255,Unknown,0,0,0
2.176.215.240,Unknown,0,0,0
45.128.199.252,Unknown,64,1,0
117.253.58.189,Unknown,0,0,0
31.184.240.70,Unknown,63,2,1
176.206.71.181,Unknown,0,0,0
87.6.119.92,Unknown,47,0,0
117.235.248.3,Unknown,0,0,0
139.190.150.127,Unknown,0,0,0
146.185.132.10,Unknown,61,4,1
59.178.178.134,Unknown,0,0,0
3.92.127.248,Unknown,0,0,0
156.210.136.236,Unknown,0,0,0
95.85.47.13,Unknown,62,3,1
58.187.9.230,Unknown,61,4,1
49.115.72.145,Unknown,0,0,0
81.163.34.204,Unknown,0,0,0
143.110.176.81,Unknown,61,3,1
151.239.232.95,Unknown,0,0,0
2.86.4.180,Unknown,0,0,0
93.44.203.44,Unknown,0,0,0
151.247.184.28,Unknown,0,0,0
209.38.252.58,Unknown,65,1,0
92.6.134.199,Unknown,0,0,0
45.128.232.103,Unknown,61,5,1
43.231.234.154,Unknown,62,4,0
85.204.220.237,Unknown,0,0,0
213.5.109.110,Unknown,0,0,0
167.172.49.169,Unknown,0,0,0
